feedback_id,atendimento_id,data_feedback,socorrista_id,nps_score,feedback_texto,tipo_problema
FB161,AT0161,07/06/2026,SOC161,10,Equipe muito eficiente no atendimento.,Nenhum problema
FB162,AT0162,11/06/2026,SOC162,8,Boa comunicação durante o transporte.,Nenhum problema
FB163,AT0163,26/08/2026,SOC163,6,Houve demora para chegada ao hospital.,Demora no atendimento
FB164,AT0164,15/01/2026,SOC164,9,Paciente recebeu atendimento adequado.,Nenhum problema
FB165,AT0165,04/02/2026,SOC165,4,Falha no repasse de informações.,Falha de comunicação
FB166,AT0166,15/04/2026,SOC166,8,Equipe atuou de forma profissional.,Nenhum problema
FB167,AT0167,25/01/2026,SOC167,7,Ocorrência conduzida corretamente.,Nenhum problema
FB168,AT0168,06/06/2026,SOC168,1,Paciente não resistiu aos ferimentos.,Morte acidental
FB169,AT0169,25/07/2026,SOC169,9,Resposta rápida ao chamado.,Nenhum problema
FB170,AT0170,21/06/2026,SOC170,5,Equipamento apresentou indisponibilidade.,Falta de equipamento
FB171,AT0171,16/06/2026,SOC171,10,Atendimento excelente e organizado.,Nenhum problema
FB172,AT0172,06/04/2026,SOC172,8,Equipe chegou rapidamente.,Nenhum problema
FB173,AT0173,19/07/2026,SOC173,6,Tempo de espera hospitalar elevado.,Demora no atendimento
FB174,AT0174,10/07/2026,SOC174,9,Boa comunicação entre as equipes.,Nenhum problema
FB175,AT0175,14/07/2026,SOC175,3,Informação incorreta dificultou o atendimento.,Falha de comunicação
FB176,AT0176,23/08/2026,SOC176,7,Atendimento adequado ao caso.,Nenhum problema
FB177,AT0177,16/05/2026,SOC177,9,Equipe preparada para emergência.,Nenhum problema
FB178,AT0178,06/01/2026,SOC178,2,Paciente faleceu durante a ocorrência.,Morte acidental
FB179,AT0179,19/04/2026,SOC179,8,Boa atuação dos socorristas.,Nenhum problema
FB180,AT0180,29/06/2026,SOC180,5,Faltou equipamento para atendimento.,Falta de equipamento
FB181,AT0181,20/07/2026,SOC181,9,Atendimento rápido e seguro.,Nenhum problema
FB182,AT0182,28/03/2026,SOC182,6,Houve atraso no deslocamento.,Demora no atendimento
FB183,AT0183,06/07/2026,SOC183,10,Excelente resposta da equipe.,Nenhum problema
FB184,AT0184,29/08/2026,SOC184,8,Procedimento realizado corretamente.,Nenhum problema
FB185,AT0185,29/04/2026,SOC185,4,Comunicação com a central apresentou falhas.,Falha de comunicação
FB186,AT0186,26/01/2026,SOC186,9,Equipe realizou ótimo atendimento.,Nenhum problema
FB187,AT0187,27/05/2026,SOC187,7,Atendimento satisfatório.,Nenhum problema
FB188,AT0188,09/07/2026,SOC188,1,Morte acidental após trauma grave.,Morte acidental
FB189,AT0189,26/04/2026,SOC189,8,Transporte realizado sem intercorrências.,Nenhum problema
FB190,AT0190,02/08/2026,SOC190,5,Material necessário não estava disponível.,Falta de equipamento
FB191,AT0191,12/01/2026,SOC191,10,Equipe demonstrou excelente preparo.,Nenhum problema
FB192,AT0192,18/02/2026,SOC192,9,Atendimento muito eficiente.,Nenhum problema
FB193,AT0193,13/02/2026,SOC193,6,Hospital demorou para receber o paciente.,Demora no atendimento
FB194,AT0194,08/01/2026,SOC194,8,Boa coordenação da ocorrência.,Nenhum problema
FB195,AT0195,24/07/2026,SOC195,3,Houve falha no contato com o hospital.,Falha de comunicação
FB196,AT0196,25/01/2026,SOC196,7,Equipe conseguiu controlar a situação.,Nenhum problema
FB197,AT0197,10/03/2026,SOC197,9,Resposta rápida ao chamado.,Nenhum problema
FB198,AT0198,01/08/2026,SOC198,2,Paciente morreu antes do transporte.,Morte acidental
FB199,AT0199,20/05/2026,SOC199,8,Atendimento realizado corretamente.,Nenhum problema
FB200,AT0200,13/06/2026,SOC200,5,Falta de material prejudicou o atendimento.,Falta de equipamento
FB201,AT0201,31/01/2026,SOC201,10,Excelente atuação da equipe.,Nenhum problema
FB202,AT0202,28/01/2026,SOC202,7,Atendimento ocorreu normalmente.,Nenhum problema
FB203,AT0203,16/04/2026,SOC203,6,Tempo de resposta foi elevado.,Demora no atendimento
FB204,AT0204,09/06/2026,SOC204,9,Boa comunicação durante o caso.,Nenhum problema
FB205,AT0205,12/02/2026,SOC205,4,Informações do chamado estavam incompletas.,Falha de comunicação
FB206,AT0206,03/04/2026,SOC206,8,Equipe bem preparada.,Nenhum problema
FB207,AT0207,04/06/2026,SOC207,9,Atendimento rápido e seguro.,Nenhum problema
FB208,AT0208,10/06/2026,SOC208,1,Paciente não resistiu ao acidente.,Morte acidental
FB209,AT0209,12/04/2026,SOC209,7,Atendimento dentro do esperado.,Nenhum problema
FB210,AT0210,31/07/2026,SOC210,5,Equipamento apresentou falha.,Falta de equipamento
FB211,AT0211,07/05/2026,SOC211,9,Excelente resposta ao chamado.,Nenhum problema
FB212,AT0212,03/06/2026,SOC212,8,Equipe atuou com segurança.,Nenhum problema
FB213,AT0213,07/07/2026,SOC213,6,Houve espera no hospital.,Demora no atendimento
FB214,AT0214,27/05/2026,SOC214,10,Atendimento excelente.,Nenhum problema
FB215,AT0215,15/01/2026,SOC215,3,Comunicação entre equipes foi prejudicada.,Falha de comunicação
FB216,AT0216,27/07/2026,SOC216,7,Procedimento realizado adequadamente.,Nenhum problema
FB217,AT0217,21/07/2026,SOC217,9,Equipe demonstrou profissionalismo.,Nenhum problema
FB218,AT0218,01/04/2026,SOC218,2,Morte decorrente de acidente grave.,Morte acidental
FB219,AT0219,24/07/2026,SOC219,8,Paciente recebeu suporte adequado.,Nenhum problema
FB220,AT0220,26/07/2026,SOC220,5,Faltou material durante o atendimento.,Falta de equipamento
FB221,AT0221,26/05/2026,SOC221,10,Equipe chegou rapidamente ao local.,Nenhum problema
FB222,AT0222,05/06/2026,SOC222,8,Atendimento organizado.,Nenhum problema
FB223,AT0223,02/07/2026,SOC223,6,Deslocamento apresentou atraso.,Demora no atendimento
FB224,AT0224,15/07/2026,SOC224,9,Boa comunicação com a central.,Nenhum problema
FB225,AT0225,22/02/2026,SOC225,4,Houve dificuldade no repasse de informações.,Falha de comunicação
FB226,AT0226,09/04/2026,SOC226,7,Atendimento satisfatório.,Nenhum problema
FB227,AT0227,21/08/2026,SOC227,9,Equipe respondeu rapidamente.,Nenhum problema
FB228,AT0228,28/08/2026,SOC228,1,Paciente faleceu no local.,Morte acidental
FB229,AT0229,22/05/2026,SOC229,8,Boa condução da ocorrência.,Nenhum problema
FB230,AT0230,16/06/2026,SOC230,5,Equipamento necessário não estava disponível.,Falta de equipamento
FB231,AT0231,16/06/2026,SOC231,10,Atendimento excelente e rápido.,Nenhum problema
FB232,AT0232,03/07/2026,SOC232,7,Equipe realizou atendimento adequado.,Nenhum problema
FB233,AT0233,12/01/2026,SOC233,6,Houve demora para liberação do leito.,Demora no atendimento
FB234,AT0234,21/05/2026,SOC234,9,Atendimento seguro e eficiente.,Nenhum problema
FB235,AT0235,27/07/2026,SOC235,3,Central forneceu informações inconsistentes.,Falha de comunicação
FB236,AT0236,10/08/2026,SOC236,8,Equipe muito preparada.,Nenhum problema
FB237,AT0237,08/08/2026,SOC237,9,Boa resposta durante a emergência.,Nenhum problema
FB238,AT0238,05/06/2026,SOC238,2,Paciente não resistiu aos ferimentos.,Morte acidental
FB239,AT0239,16/06/2026,SOC239,7,Atendimento ocorreu sem complicações.,Nenhum problema
FB240,AT0240,02/07/2026,SOC240,5,Faltaram materiais para atendimento.,Falta de equipamento
FB241,AT0241,02/07/2026,SOC241,9,Excelente atuação dos socorristas.,Nenhum problema
FB242,AT0242,15/01/2026,SOC242,8,Boa comunicação no transporte.,Nenhum problema
FB243,AT0243,08/05/2026,SOC243,6,Espera hospitalar acima do esperado.,Demora no atendimento
FB244,AT0244,17/03/2026,SOC244,10,Equipe muito eficiente.,Nenhum problema
FB245,AT0245,04/07/2026,SOC245,4,Comunicação com hospital apresentou dificuldade.,Falha de comunicação
FB246,AT0246,16/05/2026,SOC246,7,Atendimento adequado ao quadro.,Nenhum problema
FB247,AT0247,17/08/2026,SOC247,9,Resposta rápida e organizada.,Nenhum problema
FB248,AT0248,27/05/2026,SOC248,1,Morte acidental durante a ocorrência.,Morte acidental
FB249,AT0249,04/03/2026,SOC249,8,Equipe realizou bom atendimento.,Nenhum problema
FB250,AT0250,11/01/2026,SOC250,5,Houve falta de equipamento.,Falta de equipamento
FB251,AT0251,21/04/2026,SOC251,10,Excelente atendimento da equipe.,Nenhum problema
FB252,AT0252,29/01/2026,SOC252,7,Atendimento realizado conforme protocolo.,Nenhum problema
FB253,AT0253,12/04/2026,SOC253,6,Atraso na chegada ao local.,Demora no atendimento
FB254,AT0254,03/07/2026,SOC254,9,Boa integração entre as equipes.,Nenhum problema
FB255,AT0255,09/07/2026,SOC255,3,Falha no repasse de informações.,Falha de comunicação
FB256,AT0256,19/07/2026,SOC256,8,Atendimento seguro e organizado.,Nenhum problema
FB257,AT0257,30/01/2026,SOC257,9,Equipe chegou rapidamente.,Nenhum problema
FB258,AT0258,04/08/2026,SOC258,2,Paciente faleceu devido ao acidente.,Morte acidental
FB259,AT0259,06/03/2026,SOC259,7,Atendimento satisfatório.,Nenhum problema
FB260,AT0260,20/08/2026,SOC260,5,Material médico estava indisponível.,Falta de equipamento
FB261,AT0261,11/04/2026,SOC261,9,Equipe atuou com eficiência.,Nenhum problema
FB262,AT0262,11/05/2026,SOC262,8,Boa comunicação durante o atendimento.,Nenhum problema
FB263,AT0263,27/07/2026,SOC263,6,Houve demora no hospital.,Demora no atendimento
FB264,AT0264,20/08/2026,SOC264,10,Excelente trabalho da equipe.,Nenhum problema
FB265,AT0265,28/05/2026,SOC265,4,Informações do chamado estavam incompletas.,Falha de comunicação
FB266,AT0266,04/04/2026,SOC266,7,Atendimento dentro do esperado.,Nenhum problema
FB267,AT0267,07/05/2026,SOC267,9,Resposta rápida ao chamado.,Nenhum problema
FB268,AT0268,04/01/2026,SOC268,1,Paciente faleceu no local da ocorrência.,Morte acidental
FB269,AT0269,07/02/2026,SOC269,8,Boa atuação dos socorristas.,Nenhum problema
FB270,AT0270,21/06/2026,SOC270,5,Faltou equipamento durante o atendimento.,Falta de equipamento
FB271,AT0271,16/03/2026,SOC271,10,Atendimento rápido e eficiente.,Nenhum problema
FB272,AT0272,05/04/2026,SOC272,7,Equipe prestou suporte adequado.,Nenhum problema
FB273,AT0273,05/04/2026,SOC273,6,Tempo de resposta poderia melhorar.,Demora no atendimento
FB274,AT0274,03/05/2026,SOC274,9,Boa comunicação entre equipes.,Nenhum problema
FB275,AT0275,08/07/2026,SOC275,3,Houve dificuldade de comunicação.,Falha de comunicação
FB276,AT0276,18/05/2026,SOC276,8,Atendimento realizado com segurança.,Nenhum problema
FB277,AT0277,03/07/2026,SOC277,9,Equipe demonstrou bom preparo.,Nenhum problema
FB278,AT0278,19/06/2026,SOC278,2,Paciente não resistiu ao trauma.,Morte acidental
FB279,AT0279,24/01/2026,SOC279,7,Atendimento adequado ao caso.,Nenhum problema
FB280,AT0280,02/07/2026,SOC280,5,Faltaram materiais importantes.,Falta de equipamento
FB281,AT0281,10/03/2026,SOC281,10,Excelente coordenação da ocorrência.,Nenhum problema
FB282,AT0282,15/03/2026,SOC282,8,Atendimento ocorreu normalmente.,Nenhum problema
FB283,AT0283,09/02/2026,SOC283,6,Houve espera para entrada hospitalar.,Demora no atendimento
FB284,AT0284,14/03/2026,SOC284,9,Equipe atuou rapidamente.,Nenhum problema
FB285,AT0285,30/06/2026,SOC285,4,Comunicação com a central foi prejudicada.,Falha de comunicação
FB286,AT0286,24/03/2026,SOC286,7,Procedimento realizado corretamente.,Nenhum problema
FB287,AT0287,31/07/2026,SOC287,9,Atendimento eficiente.,Nenhum problema
FB288,AT0288,15/04/2026,SOC288,1,Paciente faleceu após acidente.,Morte acidental
FB289,AT0289,07/08/2026,SOC289,8,Boa resposta da equipe.,Nenhum problema
FB290,AT0290,15/07/2026,SOC290,5,Equipamento apresentou indisponibilidade.,Falta de equipamento
FB291,AT0291,17/05/2026,SOC291,10,Equipe muito bem preparada.,Nenhum problema
FB292,AT0292,13/08/2026,SOC292,7,Atendimento satisfatório.,Nenhum problema
FB293,AT0293,31/07/2026,SOC293,6,Demora no recebimento hospitalar.,Demora no atendimento
FB294,AT0294,13/03/2026,SOC294,9,Excelente comunicação durante o caso.,Nenhum problema
FB295,AT0295,18/06/2026,SOC295,3,Houve falha no contato com o hospital.,Falha de comunicação
FB296,AT0296,12/01/2026,SOC296,8,Atendimento realizado corretamente.,Nenhum problema
FB297,AT0297,11/02/2026,SOC297,9,Equipe respondeu rapidamente.,Nenhum problema
FB298,AT0298,19/02/2026,SOC298,2,Paciente sofreu morte acidental.,Morte acidental
FB299,AT0299,21/08/2026,SOC299,7,Atendimento ocorreu sem problemas.,Nenhum problema
